# go_id	kind	status	crystal_refs	notes
input.go::method::Mouse.Down	method	missing		auto-generated
input.go::method::Mouse.MoveAlong	method	missing		auto-generated
input.go::method::Mouse.MoveLinear	method	missing		auto-generated
input.go::method::Mouse.MoveTo	method	missing		auto-generated
input.go::method::Mouse.Position	method	missing		auto-generated
input.go::method::Mouse.Scroll	method	missing		auto-generated
input.go::method::Mouse.Up	method	missing		auto-generated
input.go::method::Page.InsertText	method	missing		auto-generated
input.go::method::Page.KeyActions	method	missing		auto-generated
input.go::method::Touch.Cancel	method	missing		auto-generated
input.go::method::Touch.End	method	missing		auto-generated
input.go::method::Touch.Move	method	missing		auto-generated
input.go::method::Touch.Start	method	missing		auto-generated
input.go::method::Touch.Tap	method	missing		auto-generated
input.go::struct::KeyAction	struct	missing		auto-generated
input.go::struct::KeyActions	struct	missing		auto-generated
input.go::struct::Keyboard	struct	missing		auto-generated
input.go::struct::Mouse	struct	missing		auto-generated
input.go::struct::Touch	struct	missing		auto-generated
input.go::type::KeyActionType	type	missing		auto-generated
input_test.go::test::TestInput	test	missing		auto-generated
input_test.go::test::TestKeyActions	test	missing		auto-generated
input_test.go::test::TestKeyType	test	missing		auto-generated
input_test.go::test::TestKeyTypeErr	test	missing		auto-generated
input_test.go::test::TestMouse	test	missing		auto-generated
input_test.go::test::TestMouseClick	test	missing		auto-generated
input_test.go::test::TestMouseDoubleClick	test	missing		auto-generated
input_test.go::test::TestMouseDrag	test	missing		auto-generated
input_test.go::test::TestMouseHoldMultiple	test	missing		auto-generated
input_test.go::test::TestMouseMoveErr	test	missing		auto-generated
input_test.go::test::TestMouseMoveLinear	test	missing		auto-generated
input_test.go::test::TestMouseScroll	test	missing		auto-generated
input_test.go::test::TestNativeDrag	test	missing		auto-generated
input_test.go::test::TestTouch	test	missing		auto-generated
lib/assets/assets.go::const::Monitor	const	missing		auto-generated
lib/assets/assets.go::const::MonitorPage	const	missing		auto-generated
lib/assets/assets.go::const::MousePointer	const	missing		auto-generated
lib/assets/generate/main.go::const::Monitor	const	missing		auto-generated
lib/assets/generate/main.go::const::MonitorPage	const	missing		auto-generated
lib/assets/generate/main.go::const::MousePointer	const	missing		auto-generated
lib/cdp/client.go::func::New	func	ported	src/rod/lib/cdp/client.cr,spec/cdp_client_parity_spec.cr	constructor parity via Client.new
lib/cdp/client.go::method::Client.Call	method	partial	src/rod/lib/cdp/client.cr,spec/cdp_client_parity_spec.cr	basic, slow-send, concurrent, and cancel-context parity covered; crash/leak edge semantics pending
lib/cdp/client.go::method::Client.Event	method	ported	src/rod/lib/cdp/client.cr,spec/cdp_client_parity_spec.cr	event channel routing parity
lib/cdp/client.go::method::Client.Logger	method	ported	src/rod/lib/cdp/client.cr,spec/cdp_client_parity_spec.cr	logger setter chain parity
lib/cdp/client.go::method::Client.Start	method	ported	src/rod/lib/cdp/client.cr,spec/cdp_client_parity_spec.cr	start and consume loop parity
lib/cdp/client.go::struct::Client	struct	missing		auto-generated
lib/cdp/client.go::struct::Event	struct	missing		auto-generated
lib/cdp/client.go::struct::Request	struct	missing		auto-generated
lib/cdp/client.go::struct::Response	struct	missing		auto-generated
lib/cdp/client.go::type::WebSocketable	type	missing		auto-generated
lib/cdp/client_test.go::test::TestBasic	test	missing		auto-generated
lib/cdp/client_test.go::test::TestCancelCallLeak	test	missing		auto-generated
lib/cdp/client_test.go::test::TestConcurrentCall	test	missing		auto-generated
lib/cdp/client_test.go::test::TestCrash	test	missing		auto-generated
lib/cdp/client_test.go::test::TestError	test	missing		auto-generated
lib/cdp/client_test.go::test::TestFormat	test	missing		auto-generated
lib/cdp/client_test.go::test::TestMassBrowserClose	test	missing		auto-generated
lib/cdp/client_test.go::test::TestSlowSend	test	missing		auto-generated
lib/cdp/error.go::method::Error.Error	method	missing		auto-generated
lib/cdp/error.go::method::Error.Is	method	missing		auto-generated
lib/cdp/error.go::struct::Error	struct	missing		auto-generated
lib/cdp/format.go::method::Event.String	method	missing		auto-generated
lib/cdp/format.go::method::Request.String	method	missing		auto-generated
lib/cdp/format.go::method::Response.String	method	missing		auto-generated
lib/cdp/utils.go::func::MustConnectWS	func	missing		auto-generated
lib/cdp/utils.go::func::MustStartWithURL	func	missing		auto-generated
lib/cdp/utils.go::func::StartWithURL	func	missing		auto-generated
lib/cdp/utils.go::method::tlsDialer.DialContext	method	missing		auto-generated
lib/cdp/utils.go::type::Dialer	type	missing		auto-generated
lib/cdp/websocket.go::method::BadHandshakeError.Error	method	missing		auto-generated
lib/cdp/websocket.go::method::WebSocket.Close	method	missing		auto-generated
lib/cdp/websocket.go::method::WebSocket.Connect	method	missing		auto-generated
lib/cdp/websocket.go::method::WebSocket.Read	method	missing		auto-generated
lib/cdp/websocket.go::method::WebSocket.Send	method	missing		auto-generated
lib/cdp/websocket.go::struct::BadHandshakeError	struct	missing		auto-generated
lib/cdp/websocket.go::struct::WebSocket	struct	missing		auto-generated
lib/cdp/websocket_private_test.go::test::TestWebSocketErr	test	missing		auto-generated
lib/cdp/websocket_test.go::test::TestDuplicatedConnectErr	test	missing		auto-generated
lib/cdp/websocket_test.go::test::TestWebSocketHeader	test	missing		auto-generated
lib/cdp/websocket_test.go::test::TestWebSocketLargePayload	test	missing		auto-generated
lib/defaults/defaults.go::func::Reset	func	missing		auto-generated
lib/defaults/defaults.go::func::ResetWith	func	missing		auto-generated
lib/defaults/defaults_test.go::test::TestBasic	test	missing		auto-generated
lib/defaults/defaults_test.go::test::TestParseFlag	test	missing		auto-generated
lib/devices/device.go::method::Device.IsClear	method	missing		auto-generated
lib/devices/device.go::method::Device.Landscape	method	missing		auto-generated
lib/devices/device.go::method::Device.MetricsEmulation	method	missing		auto-generated
lib/devices/device.go::method::Device.TouchEmulation	method	missing		auto-generated
lib/devices/device.go::method::Device.UserAgentEmulation	method	missing		auto-generated
lib/devices/device.go::struct::Device	struct	missing		auto-generated
lib/devices/device.go::struct::Screen	struct	missing		auto-generated
lib/devices/device.go::struct::ScreenSize	struct	missing		auto-generated
lib/devices/utils_test.go::test::TestErr	test	missing		auto-generated
lib/examples/compare-chromedp/proxy/main.go::method::transport.RoundTrip	method	missing		auto-generated
lib/examples/custom-websocket/main.go::func::NewWebSocket	func	missing		auto-generated
lib/examples/custom-websocket/main.go::method::WebSocket.Read	method	missing		auto-generated
lib/examples/custom-websocket/main.go::method::WebSocket.Send	method	missing		auto-generated
lib/examples/custom-websocket/main.go::struct::WebSocket	struct	missing		auto-generated
lib/examples/e2e-testing/calculator_test.go::test::TestAdd	test	missing		auto-generated
lib/examples/e2e-testing/calculator_test.go::test::TestMultiple	test	missing		auto-generated
lib/input/keyboard.go::const::ModifierAlt	const	missing		auto-generated
lib/input/keyboard.go::const::ModifierControl	const	missing		auto-generated
lib/input/keyboard.go::const::ModifierMeta	const	missing		auto-generated
lib/input/keyboard.go::const::ModifierShift	const	missing		auto-generated
lib/input/keyboard.go::func::AddKey	func	missing		auto-generated
lib/input/keyboard.go::method::Key.Encode	method	missing		auto-generated
lib/input/keyboard.go::method::Key.Info	method	missing		auto-generated
lib/input/keyboard.go::method::Key.Modifier	method	missing		auto-generated
lib/input/keyboard.go::method::Key.Printable	method	missing		auto-generated
lib/input/keyboard.go::method::Key.Shift	method	missing		auto-generated
lib/input/keyboard.go::struct::KeyInfo	struct	missing		auto-generated
lib/input/keyboard.go::type::Key	type	missing		auto-generated
lib/input/keyboard_test.go::test::TestKeyEncode	test	missing		auto-generated
lib/input/keyboard_test.go::test::TestKeyMap	test	missing		auto-generated
lib/input/keyboard_test.go::test::TestKeyModifier	test	missing		auto-generated
lib/input/keyboard_test.go::test::TestMac	test	missing		auto-generated
lib/input/mouse.go::func::EncodeMouseButton	func	missing		auto-generated
lib/input/mouse_test.go::test::TestMouseEncode	test	missing		auto-generated
lib/js/js.go::struct::Function	struct	missing		auto-generated
lib/launcher/browser.go::func::HostGoogle	func	missing		auto-generated
lib/launcher/browser.go::func::HostNPM	func	missing		auto-generated
lib/launcher/browser.go::func::HostPlaywright	func	missing		auto-generated
lib/launcher/browser.go::func::LookPath	func	missing		auto-generated
lib/launcher/browser.go::func::NewBrowser	func	missing		auto-generated
lib/launcher/browser.go::func::Open	func	missing		auto-generated
lib/launcher/browser.go::method::Browser.BinPath	method	missing		auto-generated
lib/launcher/browser.go::method::Browser.Dir	method	missing		auto-generated
lib/launcher/browser.go::method::Browser.Download	method	missing		auto-generated
lib/launcher/browser.go::method::Browser.Get	method	missing		auto-generated
lib/launcher/browser.go::method::Browser.MustGet	method	missing		auto-generated
lib/launcher/browser.go::method::Browser.Validate	method	missing		auto-generated
lib/launcher/browser.go::struct::Browser	struct	missing		auto-generated
lib/launcher/browser.go::type::Host	type	missing		auto-generated
lib/launcher/flags/flags.go::const::App	const	missing		auto-generated
lib/launcher/flags/flags.go::const::Arguments	const	missing		auto-generated
lib/launcher/flags/flags.go::const::Bin	const	missing		auto-generated
lib/launcher/flags/flags.go::const::Env	const	missing		auto-generated
lib/launcher/flags/flags.go::const::Headless	const	missing		auto-generated
lib/launcher/flags/flags.go::const::KeepUserDataDir	const	missing		auto-generated
lib/launcher/flags/flags.go::const::Leakless	const	missing		auto-generated
lib/launcher/flags/flags.go::const::NoSandbox	const	missing		auto-generated
lib/launcher/flags/flags.go::const::Preferences	const	missing		auto-generated
lib/launcher/flags/flags.go::const::ProfileDir	const	missing		auto-generated
lib/launcher/flags/flags.go::const::ProxyServer	const	missing		auto-generated
lib/launcher/flags/flags.go::const::RemoteDebuggingPort	const	missing		auto-generated
lib/launcher/flags/flags.go::const::UserDataDir	const	missing		auto-generated
lib/launcher/flags/flags.go::const::WindowPosition	const	missing		auto-generated
lib/launcher/flags/flags.go::const::WindowSize	const	missing		auto-generated
lib/launcher/flags/flags.go::const::WorkingDir	const	missing		auto-generated
lib/launcher/flags/flags.go::const::XVFB	const	missing		auto-generated
lib/launcher/flags/flags.go::method::Flag.Check	method	missing		auto-generated
lib/launcher/flags/flags.go::method::Flag.NormalizeFlag	method	missing		auto-generated
lib/launcher/flags/flags.go::type::Flag	type	missing		auto-generated
lib/launcher/launcher.go::func::New	func	missing		auto-generated
lib/launcher/launcher.go::func::NewAppMode	func	missing		auto-generated
lib/launcher/launcher.go::func::NewUserMode	func	missing		auto-generated
lib/launcher/launcher.go::method::Launcher.AlwaysOpenPDFExternally	method	missing		auto-generated
lib/launcher/launcher.go::method::Launcher.Append	method	missing		auto-generated
lib/launcher/launcher.go::method::Launcher.Bin	method	missing		auto-generated
lib/launcher/launcher.go::method::Launcher.Cleanup	method	missing		auto-generated
lib/launcher/launcher.go::method::Launcher.Context	method	missing		auto-generated
lib/launcher/launcher.go::method::Launcher.Delete	method	missing		auto-generated
lib/launcher/launcher.go::method::Launcher.Devtools	method	missing		auto-generated
lib/launcher/launcher.go::method::Launcher.Env	method	missing		auto-generated
lib/launcher/launcher.go::method::Launcher.FormatArgs	method	missing		auto-generated
lib/launcher/launcher.go::method::Launcher.Get	method	missing		auto-generated
lib/launcher/launcher.go::method::Launcher.GetFlags	method	missing		auto-generated
lib/launcher/launcher.go::method::Launcher.Has	method	missing		auto-generated
lib/launcher/launcher.go::method::Launcher.Headless	method	missing		auto-generated
lib/launcher/launcher.go::method::Launcher.HeadlessNew	method	missing		auto-generated
lib/launcher/launcher.go::method::Launcher.IgnoreCerts	method	missing		auto-generated
lib/launcher/launcher.go::method::Launcher.Kill	method	missing		auto-generated
